"cellName" "embryoStage" "embryo" "cellCategory" "cluster" "fsc" "ssc"
"SLX.8343.N701_N501" "HF" "ID_1" "HF-CD41+Flk1-" "turquoise" 40576 15615
"SLX.8343.N701_N502" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 16486 9095
"SLX.8343.N701_N503" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 18312 14608
"SLX.8343.N701_N504" "HF" "ID_2" "HF-CD41+Flk1-" "pink" 39515 26014
"SLX.8343.N701_N505" "HF" "ID_2" "HF-CD41+Flk1-" "brown" 25406 10337
"SLX.8343.N701_N506" "HF" "ID_3" "HF-CD41+Flk1-" "turquoise" 27489 13922
"SLX.8343.N701_N507" "HF" "ID_3" "HF-CD41+Flk1-" "black" 30951 16749
"SLX.8343.N701_N508" "HF" "ID_6" "HF-CD41+Flk1-" "black" 28397 19648
"SLX.8343.N702_N501" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 20340 5614
"SLX.8343.N702_N502" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 17481 8784
"SLX.8343.N702_N503" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 29379 16295
"SLX.8343.N702_N504" "HF" "ID_2" "HF-CD41+Flk1-" "brown" 35523 11267
"SLX.8343.N702_N505" "HF" "ID_2" "HF-CD41+Flk1-" "brown" 32060 10893
"SLX.8343.N702_N506" "NP" "ID_4" "NP-CD41+Flk1-" "turquoise" 24415 15016
"SLX.8343.N702_N507" "NP" "ID_5" "NP-CD41+Flk1-" "pink" 20930 13246
"SLX.8343.N702_N508" "HF" "ID_6" "HF-CD41+Flk1-" "brown" 13840 18692
"SLX.8343.N703_N501" "HF" "ID_1" "HF-CD41+Flk1-" "turquoise" 26629 9569
"SLX.8343.N703_N502" "HF" "ID_1" "HF-CD41+Flk1-" "darkorange" 22159 16921
"SLX.8343.N703_N503" "HF" "ID_1" "HF-CD41+Flk1-" "darkorange" 15149 14655
"SLX.8343.N703_N504" "HF" "ID_2" "HF-CD41+Flk1-" "brown" 25169 11783
"SLX.8343.N703_N505" "HF" "ID_2" "HF-CD41+Flk1-" "turquoise" 26305 10563
"SLX.8343.N703_N506" "HF" "ID_3" "HF-CD41+Flk1-" "turquoise" 21795 18259
"SLX.8343.N703_N507" "NP" "ID_5" "NP-CD41+Flk1-" "turquoise" 30970 11868
"SLX.8343.N703_N508" "HF" "ID_6" "HF-CD41+Flk1-" "black" 24991 21465
"SLX.8343.N704_N501" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 23688 11639
"SLX.8343.N704_N502" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 35483 13133
"SLX.8343.N704_N503" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 31178 10126
"SLX.8343.N704_N504" "HF" "ID_2" "HF-CD41+Flk1-" "brown" 14671 7241
"SLX.8343.N704_N505" "HF" "ID_2" "HF-CD41+Flk1-" "brown" 36470 14193
"SLX.8343.N704_N506" "HF" "ID_3" "HF-CD41+Flk1-" "turquoise" 32929 19707
"SLX.8343.N704_N507" "NP" "ID_4" "NP-CD41+Flk1-" "brown" 24932 5655
"SLX.8343.N704_N508" "NP" "ID_5" "NP-CD41+Flk1-" "turquoise" 20942 13899
"SLX.8343.N705_N501" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 21128 27937
"SLX.8343.N705_N502" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 33974 21010
"SLX.8343.N705_N503" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 26632 10380
"SLX.8343.N705_N504" "HF" "ID_2" "HF-CD41+Flk1-" "pink" 27761 15932
"SLX.8343.N705_N505" "HF" "ID_2" "HF-CD41+Flk1-" "darkorange" 39165 31366
"SLX.8343.N705_N506" "HF" "ID_3" "HF-CD41+Flk1-" "darkorange" 32404 25565
"SLX.8343.N705_N507" "NP" "ID_4" "NP-CD41+Flk1-" "brown" 35392 20929
"SLX.8343.N705_N508" "NP" "ID_5" "NP-CD41+Flk1-" "blue" 27652 19041
"SLX.8343.N706_N501" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 37092 21674
"SLX.8343.N706_N502" "HF" "ID_1" "HF-CD41+Flk1-" "turquoise" 28317 10454
"SLX.8343.N706_N503" "HF" "ID_1" "HF-CD41+Flk1-" "brown" 22837 14251
"SLX.8343.N706_N504" "HF" "ID_2" "HF-CD41+Flk1-" "brown" 22247 11296
"SLX.8343.N706_N505" "HF" "ID_2" "HF-CD41+Flk1-" "pink" 35728 22915
"SLX.8343.N706_N506" "HF" "ID_3" "HF-CD41+Flk1-" "blue" 33320 11803
"SLX.8343.N706_N507" "NP" "ID_4" "NP-CD41+Flk1-" "brown" 21983 11817
"SLX.8343.N706_N508" "NP" "ID_5" "NP-CD41+Flk1-" "turquoise" 25174 17931
"SLX.8343.N707_N501" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 26508 13834
"SLX.8343.N707_N502" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 30256 13972
"SLX.8343.N707_N503" "HF" "ID_1" "HF-CD41+Flk1+" "yellow" 41090 23842
"SLX.8343.N707_N504" "HF" "ID_2" "HF-CD41+Flk1+" "yellow" 13250 11080
"SLX.8343.N707_N505" "HF" "ID_2" "HF-CD41+Flk1+" "brown" 43903 18596
"SLX.8343.N707_N507" "NP" "ID_5" "NP-CD41+Flk1+" "brown" 25324 15328
"SLX.8343.N707_N508" "NP" "ID_5" "NP-CD41+Flk1+" "yellow" 15365 21363
