gene_id	DIFF-A-000	DIFF-A-004	DIFF-A-008	DIFF-A-012	DIFF-A-024	DIFF-A-036	DIFF-A-048	DIFF-A-072	DIFF-A-096	DIFF-A-120	DIFF-B-000	DIFF-B-004	DIFF-B-008	DIFF-B-012	DIFF-B-024	DIFF-B-036	DIFF-B-048	DIFF-B-072	DIFF-B-096	DIFF-B-120	R07-X-012	R07-X-036	R07-X-072	R07-X-120
AHK23750.1	29	36	90	279	243	448	3840	29288	47666	55105	38	29	74	284	292	438	2650	22910	42911	38262	36	559	401	106
ENSMUSG00000000001.4	10805	12458	12985	19047	26940	26124	22592	18685	15795	15293	15399	15302	11916	15649	26920	24126	27817	19502	14864	11760	15617	16304	17443	8413
ENSMUSG00000000003.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.11	2908	2932	3006	3250	3964	4996	5861	4991	1908	486	3581	3173	2971	3145	4613	5272	5952	5219	2620	454	4720	4286	3588	2323
ENSMUSG00000000031.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037.13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000049.8	0	0	1	0	0	0	0	0	0	0	2	0	2	1	1	2	3	0	0	0	5	1	2	0
ENSMUSG00000000056.7	602	556	801	547	1002	1646	2597	2939	2618	2506	727	559	730	549	1068	1821	2404	2719	2521	1806	978	1160	1537	1016
ENSMUSG00000000058.6	454	915	987	572	391	444	653	1546	1762	4079	603	1111	944	505	393	418	809	1457	1637	3577	803	167	259	261
ENSMUSG00000000078.6	341	821	739	443	628	1237	2475	8492	18331	32173	491	906	705	352	729	1201	2707	6626	14526	19602	723	1489	2192	1342
ENSMUSG00000000085.13	1662	1661	1777	1754	1498	1626	2033	1603	974	863	1921	1533	1744	1631	1662	1781	2056	1522	1251	659	1742	2117	3093	2138
ENSMUSG00000000088.6	5397	6270	5764	6413	7341	7019	5748	3935	2586	2928	8257	7221	5670	6532	8193	6384	6506	5056	2296	2582	9770	5250	4896	4532
ENSMUSG00000000093.6	1	0	1	1	2	1	3	6	3	3	0	1	3	2	2	1	3	1	3	0	0	4	6	5
ENSMUSG00000000094.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000125.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2
ENSMUSG00000000127.11	828	891	775	812	887	940	955	747	735	728	1052	1018	775	697	857	862	1029	786	634	500	789	515	795	601
ENSMUSG00000000131.12	7327	8470	7217	7776	6608	6114	6189	4594	5106	6411	7965	8220	6262	6783	7098	7113	6681	4327	5192	4555	8209	8316	7486	5474
ENSMUSG00000000134.14	766	1202	1446	1218	797	871	1284	2216	4198	6657	821	974	1247	1160	941	1013	1177	1842	3456	4922	1526	1368	979	773
ENSMUSG00000000142.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000148.14	1303	2109	1887	1453	1104	1113	1469	1372	1224	1787	1357	1676	1700	1368	1379	1482	1389	1154	1430	1290	1532	1345	1800	1651
ENSMUSG00000000149.7	8714	12515	12905	10961	10898	13012	15451	9203	4543	7495	9047	10655	11476	10260	11946	15084	14284	9075	6132	5945	10397	12910	12249	9894
ENSMUSG00000000154.12	4	8	8	20	2	4	0	7	12	39	4	7	13	16	6	2	8	9	13	37	22	63	42	25
ENSMUSG00000000157.12	7	7	8	8	2	7	34	2156	13543	11066	12	5	2	6	5	4	26	1114	12660	6487	17	12	16	9
ENSMUSG00000000159.12	228	166	139	76	9	3	1	0	0	2	263	178	145	78	21	1	0	0	0	1	578	469	263	226
ENSMUSG00000000167.11	38	39	58	42	33	35	24	4	2	7	60	45	51	47	50	30	36	8	4	7	111	87	52	70
ENSMUSG00000000168.6	4454	3909	4339	4607	4753	4776	3952	2310	1437	1639	5973	4486	4124	3865	5176	4658	4785	2869	1448	1444	6320	3897	3588	2924
ENSMUSG00000000171.4	10708	11863	12028	12166	13875	14677	13957	8824	5396	6505	13916	12197	11280	12168	15218	15036	14252	10017	5425	5286	13797	10128	11003	9809
ENSMUSG00000000182.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184.9	14048	16517	11109	13813	9184	6172	4143	936	2379	3898	15865	16138	10087	11979	9283	6992	5468	1233	1114	3086	10218	10850	16351	13336
ENSMUSG00000000194.10	1316	1990	1725	1731	1543	1710	2175	2728	3092	6125	1498	1849	1688	1601	1580	1721	2246	2200	2961	4516	1661	2112	2616	1790
ENSMUSG00000000197.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202.6	2	1	2	2	1	0	0	0	3	31	0	2	1	0	0	0	1	1	2	15	4	3	0	0
ENSMUSG00000000204.12	1	1	4	4	2	9	5	20	380	1284	3	0	0	2	5	6	6	16	267	1340	5	1	25	9
ENSMUSG00000000214.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
